dialogue_id,intra_dialogue_id,target,question,answer,candidates,candidates_scores,p_distribuition
0,0,fox,Is the item you are thinking of a bird?,No.,"[{'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}, {'fox', 'buffalo', 'chicken', 'hamster', 'elk'}]","{'fox': 4.000000000000001, 'buffalo': 4.000000000000001, 'chicken': 4.000000000000001, 'hamster': 4.000000000000001, 'elk': 4.000000000000001}","{'fox': 0.2, 'buffalo': 0.2, 'chicken': 0.2, 'hamster': 0.2, 'elk': 0.2}"
0,1,fox,Is the item you are thinking of a mammal?,Yes.,"[{'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}]","{'fox': 5.166666666666667, 'buffalo': 4.5, 'hamster': 5.166666666666667, 'elk': 5.166666666666667}","{'fox': 0.2583, 'buffalo': 0.225, 'hamster': 0.2583, 'elk': 0.2583}"
0,2,fox,Is the item you are thinking of a large mammal?,No.,"[{'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}]","{'fox': 7.650000000000001, 'hamster': 7.650000000000001, 'buffalo': 1.65, 'elk': 1.65, 'chicken': 1.4}","{'fox': 0.3825, 'hamster': 0.3825, 'buffalo': 0.0825, 'elk': 0.0825, 'chicken': 0.07}"
0,3,fox,Is the item you are thinking of a small mammal?,Yes.,"[{'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}]","{'buffalo': 3.0500000000000007, 'elk': 3.0500000000000007, 'fox': 5.050000000000002, 'chicken': 2.8000000000000003, 'hamster': 6.050000000000002}","{'buffalo': 0.1525, 'elk': 0.1525, 'fox': 0.2525, 'chicken': 0.14, 'hamster': 0.3025}"
0,4,fox,Is the item you are thinking of commonly kept as a pet?,No.,"[{'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'none', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'fox'}]","{'fox': 9.166666666666668, 'buffalo': 3.1666666666666665, 'elk': 3.1666666666666665, 'chicken': 1.1666666666666667, 'hamster': 3.1666666666666665, 'none': 0.16666666666666666}","{'fox': 0.4583, 'buffalo': 0.1583, 'elk': 0.1583, 'chicken': 0.0583, 'hamster': 0.1583, 'none': 0.0083}"
0,5,fox,Is the item you are thinking of a rodent?,No.,"[{'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}]","{'buffalo': 3.3500000000000005, 'elk': 3.3500000000000005, 'fox': 7.350000000000001, 'hamster': 3.3500000000000005, 'chicken': 2.6}","{'buffalo': 0.1675, 'elk': 0.1675, 'fox': 0.3675, 'hamster': 0.1675, 'chicken': 0.13}"
0,6,fox,Is the item you are thinking of known for its agility and quick movements?,Yes.,"[{'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}]","{'buffalo': 1.7999999999999998, 'elk': 1.7999999999999998, 'fox': 12.799999999999999, 'chicken': 1.7999999999999998, 'hamster': 1.7999999999999998}","{'buffalo': 0.09, 'elk': 0.09, 'fox': 0.64, 'chicken': 0.09, 'hamster': 0.09}"
0,7,fox,Is the item you are thinking of a hamster?,No.,"[{'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox', 'buffalo', 'hamster'}]","{'buffalo': 3.9333333333333345, 'elk': 3.600000000000001, 'fox': 4.9333333333333345, 'chicken': 3.600000000000001, 'hamster': 3.9333333333333345}","{'buffalo': 0.1967, 'elk': 0.18, 'fox': 0.2467, 'chicken': 0.18, 'hamster': 0.1967}"
0,8,fox,Is the item you are thinking of a fox?,Yes! That's correct.,"[{'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'fox'}, {'fox'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}, {'buffalo', 'elk', 'fox', 'hamster'}, {'buffalo', 'elk', 'fox', 'chicken', 'hamster'}]","{'buffalo': 3.3000000000000007, 'elk': 3.3000000000000007, 'fox': 7.300000000000002, 'chicken': 2.8000000000000003, 'hamster': 3.3000000000000007}","{'buffalo': 0.165, 'elk': 0.165, 'fox': 0.365, 'chicken': 0.14, 'hamster': 0.165}"
1,0,fawn,Is the item you have selected a bird?,No.,"[{'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}, {'fawn', 'zebra', 'sheep', 'deer'}]","{'fawn': 5.0, 'zebra': 5.0, 'sheep': 5.0, 'deer': 5.0}","{'fawn': 0.25, 'zebra': 0.25, 'sheep': 0.25, 'deer': 0.25}"
