dialogue_id,intra_dialogue_id,target,question,answer,candidates,candidates_scores,p_distribuition
0,0,fox,Is your item a bird?,No.,"[{'fox', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}]","{'fox': 5.166666666666666, 'buffalo': 5.166666666666666, 'hamster': 5.166666666666666, 'elk': 4.5}","{'fox': 0.2583, 'buffalo': 0.2583, 'hamster': 0.2583, 'elk': 0.225}"
0,1,fox,Is your item a mammal?,Yes.,"[{'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo', 'hamster'}]","{'fox': 4.75, 'elk': 5.083333333333334, 'buffalo': 5.083333333333334, 'hamster': 5.083333333333334}","{'fox': 0.2375, 'elk': 0.2542, 'buffalo': 0.2542, 'hamster': 0.2542}"
0,2,fox,Is your item typically kept as a pet?,No.,"[{'fox', 'elk', 'buffalo'}, {'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}]","{'fox': 6.666666666666665, 'elk': 6.166666666666665, 'buffalo': 7.166666666666664}","{'fox': 0.3333, 'elk': 0.3083, 'buffalo': 0.3583}"
0,3,fox,Is your item larger than a dog?,No.,"[{'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'hamster'}, {'fox', 'elk', 'buffalo'}, {'fox', 'buffalo'}, {'fox', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'elk', 'buffalo', 'hamster'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo'}]","{'buffalo': 6.833333333333331, 'hamster': 1.4999999999999998, 'fox': 5.999999999999998, 'elk': 5.666666666666665}","{'buffalo': 0.3417, 'hamster': 0.075, 'fox': 0.3, 'elk': 0.2833}"
0,4,fox,Is your item commonly found in forests or woodlands?,Yes.,"[{'fox', 'elk'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox'}, {'fox', 'buffalo'}, {'fox', 'buffalo'}, {'fox', 'elk'}, {'buffalo'}, {'fox', 'elk'}, {'fox', 'elk'}, {'fox', 'elk'}, {'fox', 'elk', 'buffalo'}, {'fox', 'elk'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox', 'elk'}, {'fox', 'elk'}, {'fox', 'elk', 'buffalo', 'partridge', 'hamster'}, {'fox', 'buffalo'}]","{'fox': 8.485714285714286, 'elk': 5.985714285714286, 'buffalo': 3.9857142857142858, 'partridge': 0.4857142857142857, 'starling': 0.2857142857142857, 'robin': 0.2857142857142857, 'hamster': 0.4857142857142857}","{'fox': 0.4243, 'elk': 0.2993, 'buffalo': 0.1993, 'partridge': 0.0243, 'starling': 0.0143, 'robin': 0.0143, 'hamster': 0.0243}"
0,5,fox,Is your item a fox?,Yes! That's correct.,"[{'fox'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'elk', 'buffalo', 'partridge', 'hamster'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'fox'}, {'fox', 'elk', 'buffalo', 'partridge', 'starling', 'robin', 'hamster'}, {'elk', 'buffalo', 'partridge', 'hamster'}, {'fox'}, {'fox'}]","{'fox': 12.857142857142854, 'elk': 1.357142857142857, 'buffalo': 1.357142857142857, 'partridge': 1.357142857142857, 'starling': 0.857142857142857, 'robin': 0.857142857142857, 'hamster': 1.357142857142857}","{'fox': 0.6429, 'elk': 0.0679, 'buffalo': 0.0679, 'partridge': 0.0679, 'starling': 0.0429, 'robin': 0.0429, 'hamster': 0.0679}"
1,0,fawn,Is the item you have assigned an animal?,Yes.,"[{'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}]","{'zebra': 2.5, 'penguin': 2.5, 'fawn': 2.5, 'pelican': 2.5, 'budgie': 2.5, 'deer': 2.5, 'sheep': 2.5, 'ostrich': 2.5}","{'zebra': 0.125, 'penguin': 0.125, 'fawn': 0.125, 'pelican': 0.125, 'budgie': 0.125, 'deer': 0.125, 'sheep': 0.125, 'ostrich': 0.125}"
1,1,fawn,Can the animal you have assigned fly?,No.,"[{'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'sheep', 'fawn', 'budgie', 'deer'}, {'zebra', 'penguin', 'fawn', 'pelican', 'budgie', 'deer', 'sheep', 'ostrich'}, {'sheep', 'fawn', 'budgie', 'deer'}]","{'sheep': 4.625, 'fawn': 4.625, 'budgie': 4.625, 'deer': 4.625, 'zebra': 0.375, 'penguin': 0.375, 'pelican': 0.375, 'ostrich': 0.375}","{'sheep': 0.2313, 'fawn': 0.2313, 'budgie': 0.2313, 'deer': 0.2313, 'zebra': 0.0187, 'penguin': 0.0187, 'pelican': 0.0187, 'ostrich': 0.0187}"
1,2,fawn,Does the animal you have assigned have hooves?,Yes.,"[{'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}]","{'sheep': 8.666666666666666, 'deer': 8.666666666666666, 'fawn': 2.6666666666666665}","{'sheep': 0.4333, 'deer': 0.4333, 'fawn': 0.1333}"
1,3,fawn,Is the animal you have assigned a deer?,Yes! That's correct.,"[{'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}]",{'deer': 20.0},{'deer': 1.0}
