0,0,"{'elk': 0.2532, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 0.2532, 'partridge': 0.0, 'hamster': 0.2532, 'buffalo': 0.2405, 'resurrected_items_p': 0}",[],0
0,1,"{'elk': 0.2299, 'robin': 0.0, 'starling': 0.0, 'fox': 0.2299, 'partridge': 0.0, 'hamster': 0.2299, 'buffalo': 0.2299, 'resurrected_items_p': 0.0805}",['chicken'],0.0805
0,2,"{'elk': 0.2632, 'chicken': 0.0526, 'robin': 0.0, 'starling': 0.0, 'fox': 0.2632, 'partridge': 0.0, 'hamster': 0.1579, 'buffalo': 0.2632, 'resurrected_items_p': 0}",[],0
0,3,"{'elk': 0.0923, 'chicken': 0.1692, 'robin': 0.0, 'fox': 0.3077, 'partridge': 0.0, 'hamster': 0.3077, 'buffalo': 0.0462, 'resurrected_items_p': 0.0769}",['starling'],0.0769
0,4,"{'elk': 0.3448, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 0.3448, 'partridge': 0.0, 'hamster': 0.2931, 'buffalo': 0.0172, 'resurrected_items_p': 0}",[],0
0,5,"{'elk': 0.1667, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 0.8333, 'partridge': 0.0, 'hamster': 0.0, 'buffalo': 0.0, 'resurrected_items_p': 0}",[],0
1,0,"{'budgie': 0.125, 'zebra': 0.125, 'deer': 0.125, 'penguin': 0.125, 'pelican': 0.125, 'sheep': 0.125, 'fawn': 0.125, 'ostrich': 0.125, 'resurrected_items_p': 0}",[],0
1,1,"{'budgie': 0.0411, 'zebra': 0.137, 'deer': 0.137, 'penguin': 0.137, 'pelican': 0.137, 'sheep': 0.137, 'fawn': 0.137, 'ostrich': 0.137, 'resurrected_items_p': 0}",[],0
1,2,"{'budgie': 0.0265, 'zebra': 0.177, 'deer': 0.177, 'penguin': 0.0708, 'pelican': 0.0354, 'sheep': 0.177, 'fawn': 0.177, 'ostrich': 0.1593, 'resurrected_items_p': 0}",[],0
1,3,"{'budgie': 0.0, 'zebra': 0.0, 'deer': 0.4878, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 0.4878, 'ostrich': 0.0244, 'resurrected_items_p': 0}",[],0
